id,name,category,region,latitude,longitude,is_endangered,is_transnational,iso_code,date_inscribed
606,Serra da Capivara National Park,Cultural,,,,0,0,br,1991
821,Historic Centre of São Luís,Cultural,,,,0,0,br,1997
890,Historic Centre of the Town of Diamantina,Cultural,,,,0,0,br,1999
892,Discovery Coast Atlantic Forest Reserves,Natural,,,,0,0,br,1999
893,Atlantic Forest South-East Reserves,Natural,,,,0,0,br,1999
993,Historic Centre of the Town of Goiás,Cultural,,,,0,0,br,2001
998,Central Amazon Conservation Complex,Natural,,,,0,0,br,2000
999,Pantanal Conservation Area,Natural,,,,0,0,br,2000
1000,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Natural,,,,0,0,br,2001
1272,São Francisco Square in the Town of São Cristóvão,Cultural,,,,0,0,br,2010
1100,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Cultural,,,,0,0,br,2012
1493,Pampulha Modern Ensemble,Cultural,,,,0,0,br,2016
1548,Valongo Wharf Archaeological Site,Cultural,,,,0,0,br,2017
1308,Paraty and Ilha Grande – Culture and Biodiversity,Mixed,,,,0,0,br,2019
1620,Sítio Roberto Burle Marx,Cultural,,,,0,0,br,2021
1035,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Natural,,,,0,0,br,2001
1611,Lençóis Maranhenses National Park,Natural,,,,0,0,br,2024
1747,Peruaçu River Canyon,Natural,,,,0,0,br,2025
1774,Amazonia Theaters,Cultural,,,,0,0,br,2026
44,Thracian Tomb of Kazanlak,Cultural,,,,0,0,bg,1979
45,Rock-Hewn Churches of Ivanovo,Cultural,,,,0,0,bg,1979
216,Rila Monastery,Cultural,,,,0,0,bg,1983
219,Srebarna Nature Reserve,Natural,,,,1,0,bg,1983
225,Pirin National Park,Natural,,,,0,0,bg,1983
217,Ancient City of Nessebar,Cultural,,,,0,0,bg,1983
42,Boyana Church,Cultural,,,,0,0,bg,1979
43,Madara Rider,Cultural,,,,0,0,bg,1979
359,Thracian Tomb of Sveshtari,Cultural,,,,0,0,bg,1985
1225,Ruins of Loropéni,Cultural,,,,0,0,bf,2009
1602,Ancient Ferrous Metallurgy Sites of Burkina Faso,Cultural,,,,0,0,bf,2019
1713,Royal Court of Tiébélé,Cultural,,,,0,0,bf,2024
1310,"Cidade Velha, Historic Centre of Ribeira Grande",Cultural,,,,0,0,cv,2009
668,Angkor,Cultural,,,,1,0,kh,1992
1224,Temple of Preah Vihear,Cultural,,,,0,0,kh,2008
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cultural,,,,0,0,kh,2017
1667,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,Cultural,,,,0,0,kh,2023
1748,Cambodian Memorial Sites: From centres of repression to places of peace and reflection,Cultural,,,,0,0,kh,2025
407,Dja Faunal Reserve,Natural,,,,0,0,cm,1987
1745,Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,Cultural,,,,0,0,cm,2025
24,Nahanni National Park,Natural,,,,0,0,ca,1978
71,Dinosaur Provincial Park,Natural,,,,0,0,ca,1979
157,S<U>G</U>ang Gwaay,Cultural,,,,0,0,ca,1981
256,Wood Buffalo National Park,Natural,,,,0,0,ca,1983
300,Historic District of Old Québec,Cultural,,,,0,0,ca,1985
304,Canadian Rocky Mountain Parks,Natural,,,,0,0,ca,1984
419,Gros Morne National Park,Natural,,,,0,0,ca,1987
686,Miguasha National Park,Natural,,,,0,0,ca,1999
741,Old Town Lunenburg,Cultural,,,,0,0,ca,1995
1221,Rideau Canal,Cultural,,,,0,0,ca,2007
1285,Joggins Fossil Cliffs,Natural,,,,0,0,ca,2008
1404,Landscape of Grand Pré,Cultural,,,,0,0,ca,2012
1412,Red Bay Basque Whaling Station,Cultural,,,,0,0,ca,2013
1497,Mistaken Point,Natural,,,,0,0,ca,2016
1415,Pimachiowin Aki,Mixed,,,,0,0,ca,2018
4,L’Anse aux Meadows National Historic Site,Cultural,,,,0,0,ca,1978
1597,Writing-on-Stone / Áísínai’pi,Cultural,,,,0,0,ca,2019
158,Head-Smashed-In Buffalo Jump,Cultural,,,,0,0,ca,1981
1564,Tr’ondëk-Klondike,Cultural,,,,0,0,ca,2023
1686,Anticosti,Natural,,,,0,0,ca,2023
475,Manovo-Gounda St Floris National Park,Natural,,,,1,0,cf,1988
1400,Lakes of Ounianga,Natural,,,,0,0,td,2012
1475,Ennedi Massif: Natural and Cultural Landscape,Mixed,,,,0,0,td,2016
715,Rapa Nui National Park,Cultural,,,,0,0,cl,1995
959,Historic Quarter of the Seaport City of Valparaíso,Cultural,,,,0,0,cl,2003
1214,Sewell Mining Town,Cultural,,,,0,0,cl,2006
1178,Humberstone and Santa Laura Saltpeter Works,Cultural,,,,0,0,cl,2005
971,Churches of Chiloé,Cultural,,,,0,0,cl,2000
1634,Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,Cultural,,,,0,0,cl,2021
437,Mount Taishan,Mixed,,,,0,0,cn,1987
438,The Great Wall,Cultural,,,,0,0,cn,1987
439,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,Cultural,,,,0,0,cn,1987
440,Mogao Caves,Cultural,,,,0,0,cn,1987
441,Mausoleum of the First Qin Emperor,Cultural,,,,0,0,cn,1987
449,Peking Man Site at Zhoukoudian,Cultural,,,,0,0,cn,1987
637,Jiuzhaigou Valley Scenic and Historic Interest Area,Natural,,,,0,0,cn,1992
638,Huanglong Scenic and Historic Interest Area,Natural,,,,0,0,cn,1992
640,Wulingyuan Scenic and Historic Interest Area,Natural,,,,0,0,cn,1992
703,"Mountain Resort and its Outlying Temples, Chengde",Cultural,,,,0,0,cn,1994
704,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,Cultural,,,,0,0,cn,1994
705,Ancient Building Complex in the Wudang Mountains,Cultural,,,,0,0,cn,1994
707,"Historic Ensemble of the Potala Palace, Lhasa",Cultural,,,,0,0,cn,1994
778,Lushan National Park,Cultural,,,,0,0,cn,1996
779,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",Mixed,,,,0,0,cn,1996
812,Ancient City of Ping Yao,Cultural,,,,0,0,cn,1997
813,Classical Gardens of Suzhou,Cultural,,,,0,0,cn,1997
880,"Summer Palace, an Imperial Garden in Beijing",Cultural,,,,0,0,cn,1998
881,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,Cultural,,,,0,0,cn,1998
912,Dazu Rock Carvings,Cultural,,,,0,0,cn,1999
1001,Mount Qingcheng and the Dujiangyan Irrigation System,Cultural,,,,0,0,cn,2000
1002,Ancient Villages in Southern Anhui – Xidi and Hongcun,Cultural,,,,0,0,cn,2000
1003,Longmen Grottoes,Cultural,,,,0,0,cn,2000
1004,Imperial Tombs of the Ming and Qing Dynasties,Cultural,,,,0,0,cn,2000
1039,Yungang Grottoes,Cultural,,,,0,0,cn,2001
1110,Historic Centre of Macao,Cultural,,,,0,0,cn,2005
